"%s Item(s)","%s Item(s)"
"* Required Fields","* Required Fields"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Additional Information","Additional Information"
"Alert Urls","Alert Urls"
"An error occured while reindexing the products.","An error occured while reindexing the products."
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Cache refresh needed. (NOTE: A dot ""."" before suffix is added automatically)","Cache refresh needed. (NOTE: A dot ""."" before suffix is added automatically)"
"Catalog Category (Anchor)","Catalog Category (Anchor)"
"Catalog Category (Non-Anchor)","Catalog Category (Non-Anchor)"
"Catalog Category/Product Index","Catalog Category/Product Index"
"Catalog Product Compare List","Catalog Product Compare List"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Catalog Product Image Gallery Popup","Catalog Product Image Gallery Popup"
"Catalog Product View (Any)","Catalog Product View (Any)"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Category List)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Category Tree)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Product List)"
"Catalog product price","Catalog product price"
"Category","Category"
"Category Flat Data","Category Flat Data"
"Category Flat Index","Category Flat Index"
"Category URL Rewrite","Category URL Rewrite"
"Category URL Rewrites","Category URL Rewrites"
"Category URL Suffix","Category URL Suffix"
"Check items to add to the cart or","Check items to add to the cart or"
"Clear All","Clear All"
"Click on image to zoom","Click on image to zoom"
"Close Window","Close Window"
"Compare Products","Compare Products"
"Create Custom Redirect for old URL","Create Custom Redirect for old URL"
"Details","Details"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Email to a Friend","Email to a Friend"
"ID","ID"
"In stock","In stock"
"Index categories URL rewrites","Index categories URL rewrites"
"Index product prices","Index product prices"
"Index products URL rewrites","Index products URL rewrites"
"Indexed category/products association","Indexed category/products association"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Invalid attribute %s","Invalid attribute %s"
"Items %s-%s of %s","Items %s-%s of %s"
"Learn More","Learn More"
"More Views","More Views"
"Name","Name"
"New Products","New Products"
"Out of stock","Out of stock"
"Please wait...","Please wait..."
"Price and Stock Index","Price and Stock Index"
"Print This Page","Print This Page"
"Product","Product"
"Product Flat Data","Product Flat Data"
"Product Flat Index","Product Flat Index"
"Product Tags List","Product Tags List"
"Product URL Rewrite","Product URL Rewrite"
"Product URL Rewrites","Product URL Rewrites"
"Product URL Suffix","Product URL Suffix"
"Product View Extra Hint","Product View Extra Hint"
"Quick Overview","Quick Overview"
"Related Products","Related Products"
"Remove Product","Remove Product"
"Reorganize EAV category structure to flat structure","Reorganize EAV category structure to flat structure"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"SKU","SKU"
"SKU# %s","SKU# %s"
"Select Category","Select Category"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"Shop By","Shop By"
"Shopping Options","Shopping Options"
"Show","Show"
"Skip choosing category","Skip choosing category"
"Sort By","Sort By"
"Status","Status"
"Subscribe to RSS Feed","Subscribe to RSS Feed"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module"
"There are no products matching the selection.","There are no products matching the selection."
"URL Redirect","URL Redirect"
"Unsupported product type ""%s"".","Unsupported product type ""%s""."
"View as","View as"
"You may also be interested in the following product(s)","You may also be interested in the following product(s)"
"Zoom In","Zoom In"
"Zoom Out","Zoom Out"
"per page","per page"
"select all","select all"
"unselect all","unselect all"
