"(Allow)","(Allow)"
"(Config)","(Config)"
"(Deny)","(Deny)"
"-- Please Select --","-- Please Select --"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"A permission with the same scope already exists.","A permission with the same scope already exists."
"Add to Cart","Add to Cart"
"All Customer Groups","All Customer Groups"
"All Websites","All Websites"
"Allow","Allow"
"Allow Adding to Cart","Allow Adding to Cart"
"Allow Browsing Category","Allow Browsing Category"
"Browsing Category","Browsing Category"
"Catalog Permissions","Catalog Permissions"
"Category Permissions","Category Permissions"
"Category Permissions Section","Category Permissions Section"
"Customer Group","Customer Group"
"Customer Groups","Customer Groups"
"Deny","Deny"
"Disallow Catalog Search By","Disallow Catalog Search By"
"Display Product Prices","Display Product Prices"
"Enable","Enable"
"Landing Page","Landing Page"
"New Permission","New Permission"
"No","No"
"No, Redirect to Landing Page","No, Redirect to Landing Page"
"Permission with the same scope","Permission with the same scope"
"Permissions do not depend on store views.","Permissions do not depend on store views."
"Remove Permission","Remove Permission"
"The product ""%s"" cannot be added to cart.","The product ""%s"" cannot be added to cart."
"Use parent","Use parent"
"Website","Website"
"Yes, for Everyone","Yes, for Everyone"
"Yes, for Specified Customer Groups","Yes, for Specified Customer Groups"
"You have no permissions to access this category","You have no permissions to access this category"
"You have no permissions to access this product","You have no permissions to access this product"
