"Additional Info","Additional Info"
"Advanced Search","Advanced Search"
"Advanced Search Form","Advanced Search Form"
"Advanced Search Result","Advanced Search Result"
"Catalog Advanced Search","Catalog Advanced Search"
"Catalog Search Index","Catalog Search Index"
"Enter search keyword","Enter search keyword"
"Go","Go"
"Popular Search Terms","Popular Search Terms"
"Quick Search Form","Quick Search Form"
"Search","Search"
"Search Settings","Search Settings"
"Search results for '%s'","Search results for '%s'"
"Search site:","Search site:"
"Subscribe to Feed","Subscribe to Feed"
"Your search returns no results.","Your search returns no results."
