"%s product requires your attention.","%s product requires your attention."
"%s product was added to your shopping cart.","%s product was added to your shopping cart."
"%s products require your attention.","%s products require your attention."
"%s products were added to your shopping cart.","%s products were added to your shopping cart."
"%s was added to your shopping cart.","%s was added to your shopping cart."
"* Required Fields","* Required Fields"
"<span id=""sku-attention-num"">%s</span> product(s) require attention","<span id=""sku-attention-num"">%s</span> product(s) require attention"
"Access denied.","Access denied."
"Action","Action"
"Add New Address","Add New Address"
"Add Products","Add Products"
"Add Products By SKU","Add Products By SKU"
"Add Products to Order","Add Products to Order"
"Add Row","Add Row"
"Add Selected Product(s) to Shopping Cart","Add Selected Product(s) to Shopping Cart"
"Add To Cart","Add To Cart"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Order","Add to Order"
"Add to Order by SKU","Add to Order by SKU"
"Add to Shopping Cart","Add to Shopping Cart"
"Add to Shopping Cart by SKU","Add to Shopping Cart by SKU"
"Add to Wishlist","Add to Wishlist"
"Additional Product Info","Additional Product Info"
"Address","Address"
"Address %s of %s","Address %s of %s"
"Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row.","Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row."
"Already registered?","Already registered?"
"An error has occurred. See error log for details.","An error has occurred. See error log for details."
"Apply","Apply"
"Apply Coupon","Apply Coupon"
"Apply Coupon Code","Apply Coupon Code"
"Are you sure you want to delete all items from shopping cart?","Are you sure you want to delete all items from shopping cart?"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Availability: Out of stock.","Availability: Out of stock."
"Back","Back"
"Back to Billing Information","Back to Billing Information"
"Back to Select Addresses","Back to Select Addresses"
"Back to Shipping Information","Back to Shipping Information"
"Back to Shopping Cart","Back to Shopping Cart"
"Based on your selection, you may be interested in the following items:","Based on your selection, you may be interested in the following items:"
"Billing Address","Billing Address"
"Billing Information","Billing Information"
"Cancel","Cancel"
"Cancel Coupon","Cancel Coupon"
"Cannot add product","Cannot add product"
"Cannot configure product","Cannot configure product"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Subtotal:","Cart Subtotal:"
"Change","Change"
"Change Billing Address","Change Billing Address"
"Checkout","Checkout"
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest","Checkout as a Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"Choose some products to add to shopping cart.","Choose some products to add to shopping cart."
"City","City"
"Clear Shopping Cart","Clear Shopping Cart"
"Close","Close"
"Company","Company"
"Configure","Configure"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","Confirm Password"
"Continue","Continue"
"Continue Shopping","Continue Shopping"
"Continue to Billing Information","Continue to Billing Information"
"Continue to Review Your Order","Continue to Review Your Order"
"Continue to Shipping Information","Continue to Shipping Information"
"Country","Country"
"Coupon code ""%s"" is not valid","Coupon code ""%s"" is not valid"
"Customer Groups","Customer Groups"
"Customer not found","Customer not found"
"Customers","Customers"
"Default Billing","Default Billing"
"Default Shipping","Default Shipping"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget"
"Disabled products cannot be added.","Disabled products cannot be added."
"Discount","Discount"
"Discount Codes","Discount Codes"
"Display a Link to Loading a Spreadsheet","Display a Link to Loading a Spreadsheet"
"Easy access to your order history and status","Easy access to your order history and status"
"Edit","Edit"
"Edit Address","Edit Address"
"Edit Items","Edit Items"
"Edit item","Edit item"
"Email Address","Email Address"
"Empty Shopping Cart Content Before","Empty Shopping Cart Content Before"
"Enable Order by SKU on My Account in Frontend","Enable Order by SKU on My Account in Frontend"
"Enter a New Address","Enter a New Address"
"Enter your coupon code if you have one.","Enter your coupon code if you have one."
"Enter your destination to get a shipping estimate.","Enter your destination to get a shipping estimate."
"Estimate Shipping and Tax","Estimate Shipping and Tax"
"Excl. Tax","Excl. Tax"
"Failed to add a product of order item","Failed to add a product of order item"
"Failed to reorder item","Failed to reorder item"
"Fast and easy check out","Fast and easy check out"
"Fax","Fax"
"File","File"
"File cannot be uploaded.","File cannot be uploaded."
"File extensions allowed: .csv","File extensions allowed: .csv"
"File is corrupt.","File is corrupt."
"File is empty.","File is empty."
"File must contain two columns, with ""sku"" and ""qty"" in the header row.","File must contain two columns, with ""sku"" and ""qty"" in the header row."
"Forgot your password?","Forgot your password?"
"Get a Quote","Get a Quote"
"Get notified when back in stock","Get notified when back in stock"
"Go to Shopping Cart","Go to Shopping Cart"
"Grand Total:","Grand Total:"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid block: %s.","Invalid block: %s."
"Item was successfully removed.","Item was successfully removed."
"Items","Items"
"Items After","Items After"
"Items Before","Items Before"
"Items were successfully removed.","Items were successfully removed."
"Last ordered items (%s)","Last ordered items (%s)"
"Link Text","Link Text"
"Load a list of SKUs","Load a list of SKUs"
"Loading next step...","Loading next step..."
"Login","Login"
"Login/Registration Before","Login/Registration Before"
"Manage Customers","Manage Customers"
"Manage Shopping Cart","Manage Shopping Cart"
"Move to Wishlist","Move to Wishlist"
"Multishipping Checkout","Multishipping Checkout"
"Multishipping Checkout Address (Any) Form","Multishipping Checkout Address (Any) Form"
"Multishipping Checkout Billing Address Creation","Multishipping Checkout Billing Address Creation"
"Multishipping Checkout Billing Address Edit Form","Multishipping Checkout Billing Address Edit Form"
"Multishipping Checkout Billing Address Selection","Multishipping Checkout Billing Address Selection"
"Multishipping Checkout Billing Information Step","Multishipping Checkout Billing Information Step"
"Multishipping Checkout Customer Address Edit Form","Multishipping Checkout Customer Address Edit Form"
