"%s Purchased Quantity %s %s while %s of these Conditions match:","%s Purchased Quantity %s %s while %s of these Conditions match:"
"%s Sales Amount %s %s while %s of these Conditions match:","%s Sales Amount %s %s while %s of these Conditions match:"
"* Could be applied both for visitors and registered customers","* Could be applied both for visitors and registered customers"
"Active","Active"
"Add Segment","Add Segment"
"Address Attributes","Address Attributes"
"Address Type","Address Type"
"All","All"
"Any","Any"
"Applies to All of the Specified Customer Segments","Applies to All of the Specified Customer Segments"
"Apply To","Apply To"
"Apply to the Selected Customer Segments","Apply to the Selected Customer Segments"
"Assigned to Website","Assigned to Website"
"Average","Average"
"Back","Back"
"Billing","Billing"
"CSV","CSV"
"Conditions","Conditions"
"Conditions Combination","Conditions Combination"
"Country","Country"
"Customer","Customer"
"Customer %s","Customer %s"
"Customer Address","Customer Address"
"Customer Address %s","Customer Address %s"
"Customer Address %s Default %s Address","Customer Address %s Default %s Address"
"Customer Segment","Customer Segment"
"Customer Segment Report","Customer Segment Report"
"Customer Segment Report \'%s\'","Customer Segment Report \'%s\'"
"Customer Segment data has been refreshed.","Customer Segment data has been refreshed."
"Customer Segments","Customer Segments"
"Customer Segments Report","Customer Segments Report"
"Customer Since","Customer Since"
"Customer Store Credit Amount %s %s:","Customer Store Credit Amount %s %s:"
"Customer is %s to newsletter.","Customer is %s to newsletter."
"Customers","Customers"
"Date Range","Date Range"
"Date Range %s within %s","Date Range %s within %s"
"Date Ranges","Date Ranges"
"Default Address","Default Address"
"Description","Description"
"Details","Details"
"Edit Segment","Edit Segment"
"Edit Segment '%s'","Edit Segment '%s'"
"Email","Email"
"Enable Customer Segment Functionality","Enable Customer Segment Functionality"
"Excel XML","Excel XML"
"General Properties","General Properties"
"Gift Card","Gift Card"
"Grand Total","Grand Total"
"Group","Group"
"Has State/Province","Has State/Province"
"ID","ID"
"If Customer Address %s State/Province specified","If Customer Address %s State/Province specified"
"If Customer Addresses match %s of these Conditions:","If Customer Addresses match %s of these Conditions:"
"If Customer Segment %s %s","If Customer Segment %s %s"
"If Order Addresses match %s of these Conditions:","If Order Addresses match %s of these Conditions:"
"If Product %s %s and matches %s of these Conditions:","If Product %s %s and matches %s of these Conditions:"
"If Product is %s in the %s with %s of these Conditions match:","If Product is %s in the %s with %s of these Conditions match:"
"Inactive","Inactive"
"Intersection","Intersection"
"Manage Segments","Manage Segments"
"Matched %d Customers of Segment %s","Matched %d Customers of Segment %s"
"Matched Customers (%d)","Matched Customers (%d)"
"Name","Name"
"New Segment","New Segment"
"Newsletter Subscription","Newsletter Subscription"
"Number of Cart Line Items","Number of Cart Line Items"
"Number of Customers","Number of Customers"
"Number of Orders","Number of Orders"
"Number of Orders %s %s while %s of these Conditions match:","Number of Orders %s %s while %s of these Conditions match:"
"Number of Shopping Cart Line Items %s %s:","Number of Shopping Cart Line Items %s %s:"
"Order Address","Order Address"
"Order Address %s","Order Address %s"
"Order Address %s a %s Address","Order Address %s a %s Address"
"Order Address Attributes","Order Address Attributes"
"Order Status","Order Status"
"Order Status %s %s:","Order Status %s %s:"
"Period %s %s Days Up To Date","Period %s %s Days Up To Date"
"Please save this information in order to specify the conditions for segmentation","Please save this information in order to specify the conditions for segmentation"
"Product %s","Product %s"
"Product Attributes","Product Attributes"
"Product History","Product History"
"Product List","Product List"
"Products","Products"
"Products Quantity","Products Quantity"
"Purchased Quantity","Purchased Quantity"
"Refresh Data","Refresh Data"
"Refresh Segment Data","Refresh Segment Data"
"Registered Customers","Registered Customers"
"Reports","Reports"
"Sales","Sales"
"Sales Amount","Sales Amount"
"Save and Continue Edit","Save and Continue Edit"
"Segment Customers matching error.","Segment Customers matching error."
"Segment Information","Segment Information"
"Segment Name","Segment Name"
"Segments","Segments"
"Set","Set"
"Shipping","Shipping"
"Shopping Cart","Shopping Cart"
"Shopping Cart %s Amount %s %s:","Shopping Cart %s Amount %s %s:"
"Shopping Cart Products Qty %s %s:","Shopping Cart Products Qty %s %s:"
"Shopping Cart Total","Shopping Cart Total"
"Specified","Specified"
"State/Province","State/Province"
"Status","Status"
"Store Credit","Store Credit"
"Subtotal","Subtotal"
"Tax","Tax"
"Telephone","Telephone"
"The segment has been deleted.","The segment has been deleted."
"The segment has been saved.","The segment has been saved."
"Total","Total"
"Unable to delete the segment.","Unable to delete the segment."
"Unable to save the segment.","Unable to save the segment."
"Union","Union"
"Unknown operator specified.","Unknown operator specified."
"Unknown quote total specified.","Unknown quote total specified."
"Up To Date","Up To Date"
"Use in Customer Segment","Use in Customer Segment"
"View Combined Report","View Combined Report"
"Viewing combined ""%s"" report from segments: %s","Viewing combined ""%s"" report from segments: %s"
"Viewing combined ""%s"" report from segments: %s.","Viewing combined ""%s"" report from segments: %s."
"Visitors","Visitors"
"Visitors and Registered Customers","Visitors and Registered Customers"
"Website","Website"
"Wishlist","Wishlist"
"Wrong ""ApplyTo"" type","Wrong ""ApplyTo"" type"
"Wrong customer segment requested.","Wrong customer segment requested."
"ZIP","ZIP"
"does not exist","does not exist"
"does not have","does not have"
"does not match","does not match"
"exists","exists"
"has","has"
"is not one of","is not one of"
"is one of","is one of"
"matches","matches"
"not subscribed","not subscribed"
"ordered","ordered"
"subscribed","subscribed"
"viewed","viewed"
