"Add","Add"
"Add Amount","Add Amount"
"Add giftcard to shopping cart (quote)","Add giftcard to shopping cart (quote)"
"All Websites","All Websites"
"Allow Gift Message","Allow Gift Message"
"Allow Message","Allow Message"
"Amount","Amount"
"Amount in %s","Amount in %s"
"An error has occurred while preparing Gift Card.","An error has occurred while preparing Gift Card."
"Card Type","Card Type"
"Catalog Product View (Gift Card)","Catalog Product View (Gift Card)"
"Choose an Amount...","Choose an Amount..."
"Combined","Combined"
"Delete","Delete"
"Delete Amount","Delete Amount"
"Email Template","Email Template"
"Entered amount is too high","Entered amount is too high"
"Entered amount is too low","Entered amount is too low"
"From","From"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
"Gift Card","Gift Card"
"Gift Card Accounts","Gift Card Accounts"
"Gift Card Accounts Generated From Gift Card","Gift Card Accounts Generated From Gift Card"
"Gift Card Email Settings","Gift Card Email Settings"
"Gift Card General Settings","Gift Card General Settings"
"Gift Card Information","Gift Card Information"
"Gift Card Is Redeemable","Gift Card Is Redeemable"
"Gift Card Lifetime","Gift Card Lifetime"
"Gift Card Message","Gift Card Message"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Gift Card Recipient","Gift Card Recipient"
"Gift Card Sender","Gift Card Sender"
"Gift Card Type","Gift Card Type"
"Gift Card for Customer","Gift Card for Customer"
"Gift Card for Shopping Cart","Gift Card for Shopping Cart"
"Gift Card max amount is %s","Gift Card max amount is %s"
"Gift Card min amount is %s","Gift Card min amount is %s"
"Gift Message Maximum Length","Gift Message Maximum Length"
"GiftCard API","GiftCard API"
"GiftCard for Shopping Cart API","GiftCard for Shopping Cart API"
"If empty no expiration.","If empty no expiration."
"Invoiced","Invoiced"
"Is Redeemable","Is Redeemable"
"Lifetime (days)","Lifetime (days)"
"Maximum length of the message is %d characters.","Maximum length of the message is %d characters."
"Maximum: %s","Maximum: %s"
"Message","Message"
"Minimum: %s","Minimum: %s"
"N/A","N/A"
"No","No"
"Ordered","Ordered"
"Other Amount...","Other Amount..."
"Physical","Physical"
"Please specify Gift Card amount.","Please specify Gift Card amount."
"Please specify all the required information.","Please specify all the required information."
"Please specify recipient email.","Please specify recipient email."
"Please specify recipient name.","Please specify recipient name."
"Please specify sender email.","Please specify sender email."
"Please specify sender name.","Please specify sender name."
"Quantity","Quantity"
"Recipient Email","Recipient Email"
"Recipient Name","Recipient Name"
"Redeem giftcard to customer store credit","Redeem giftcard to customer store credit"
"Redeemable","Redeemable"
"Remove","Remove"
"Remove giftcard from shopping cart (quote)","Remove giftcard from shopping cart (quote)"
"Retrieve full gift card account info","Retrieve full gift card account info"
"Retrieve gift card accounts list","Retrieve gift card accounts list"
"Retrieve gift card customer info","Retrieve gift card customer info"
"Retrieve giftcard customer data","Retrieve giftcard customer data"
"Retrieve list of Giftcards in shopping cart","Retrieve list of Giftcards in shopping cart"
"Retrieve list of giftcards in shopping cart","Retrieve list of giftcards in shopping cart"
"Sender Email","Sender Email"
"Sender Name","Sender Name"
"Some of Gift Card Accounts were not generated properly. You can create Gift Card Accounts manually <a href=""%s"">here</a>.","Some of Gift Card Accounts were not generated properly. You can create Gift Card Accounts manually <a href=""%s"">here</a>."
"Unable to create.","Unable to create."
"Up To","Up To"
"Update gift card account info","Update gift card account info"
"Use Config Settings","Use Config Settings"
"Virtual","Virtual"
"Yes","Yes"
