"-- First Please Select a Website --","-- First Please Select a Website --"
"Action","Action"
"Active","Active"
"Add Gift Card","Add Gift Card"
"Add Gift Card Account","Add Gift Card Account"
"Additional information","Additional information"
"Alphabetical","Alphabetical"
"Alphanumeric","Alphanumeric"
"Are you sure you want to delete these gift card accounts?","Are you sure you want to delete these gift card accounts?"
"Available","Available"
"Balance","Balance"
"Balance Change","Balance Change"
"Balance cannot be less than zero.","Balance cannot be less than zero."
"By admin: %s.","By admin: %s."
"Cannot apply Gift Card","Cannot apply Gift Card"
"Cannot apply gift card.","Cannot apply gift card."
"Cannot redeem Gift Card.","Cannot redeem Gift Card."
"Cannot remove Gift Card","Cannot remove Gift Card"
"Cannot remove gift card.","Cannot remove gift card."
"Check","Check"
"Check Gift Card status and balance","Check Gift Card status and balance"
"Check status and balance","Check status and balance"
"Code","Code"
"Code Format","Code Format"
"Code Length","Code Length"
"Code Pool used: <b>%.2f%%</b> (free <b>%d</b> of <b>%d</b> total).","Code Pool used: <b>%.2f%%</b> (free <b>%d</b> of <b>%d</b> total)."
"Code Pool used: <b>%.2f%%</b> (free <b>%d</b> of <b>%d</b> total). Generate new code pool <a href=""%s"">here</a>.","Code Pool used: <b>%.2f%%</b> (free <b>%d</b> of <b>%d</b> total). Generate new code pool <a href=""%s"">here</a>."
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Create","Create"
"Create gift card account","Create gift card account"
"Created","Created"
"Current Balance: %s","Current Balance: %s"
"Customer #%s.","Customer #%s."
"Customer My Account Gift Card Check Form","Customer My Account Gift Card Check Form"
"Customers","Customers"
"Dash Every X Characters","Dash Every X Characters"
"Date","Date"
"Date Created","Date Created"
"Delete","Delete"
"Do you really want to proceed? All unsaved changes will be lost.","Do you really want to proceed? All unsaved changes will be lost."
"Edit Gift Card Account","Edit Gift Card Account"
"Edit Gift Card Account: %s","Edit Gift Card Account: %s"
"Email Sent from Gift Card Account Management","Email Sent from Gift Card Account Management"
"Email Template","Email Template"
"Email was not sent because the gift card account is not active.","Email was not sent because the gift card account is not active."
"Enter Gift Card code","Enter Gift Card code"
"Enter gift card code","Enter gift card code"
"Enter the gift card code","Enter the gift card code"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"Expiration Date","Expiration Date"
"Expiration date cannot be in the past.","Expiration date cannot be in the past."
"Expired","Expired"
"Expires: %s","Expires: %s"
"Generate","Generate"
"Gift Card","Gift Card"
"Gift Card ""%s"" was added.","Gift Card ""%s"" was added."
"Gift Card ""%s"" was redeemed.","Gift Card ""%s"" was redeemed."
"Gift Card ""%s"" was removed.","Gift Card ""%s"" was removed."
"Gift Card (%s)","Gift Card (%s)"
"Gift Card Account","Gift Card Account"
"Gift Card Account General Settings","Gift Card Account General Settings"
"Gift Card Account Sent From Edit Page","Gift Card Account Sent From Edit Page"
"Gift Card Account has been deleted.","Gift Card Account has been deleted."
"Gift Card Accounts","Gift Card Accounts"
"Gift Card Balance Check Form","Gift Card Balance Check Form"
"Gift Card Code","Gift Card Code"
"Gift Card Email Sender","Gift Card Email Sender"
"Gift Card Redeemed: %s. For customer #%s.","Gift Card Redeemed: %s. For customer #%s."
"Gift Card Template","Gift Card Template"
"Gift Card amount applied to order: %s","Gift Card amount applied to order: %s"
"Gift Card status","Gift Card status"
"Gift Card: %s","Gift Card: %s"
"Gift Cards","Gift Cards"
"Gift card account %s balance does not have funds.","Gift card account %s balance does not have funds."
"Gift card account %s balance is less than amount to be charged.","Gift card account %s balance is less than amount to be charged."
"Gift card account %s is expired.","Gift card account %s is expired."
"Gift card account %s is not enabled.","Gift card account %s is not enabled."
"GiftCard Account API","GiftCard Account API"
"Have a gift card? <a href=""%s"">Click here</a> to redeem it.","Have a gift card? <a href=""%s"">Click here</a> to redeem it."
"History","History"
"ID","ID"
"Information","Information"
"Invalid customer ID supplied.","Invalid customer ID supplied."
"Low Code Pool Threshold","Low Code Pool Threshold"
"Manage Gift Card Accounts","Manage Gift Card Accounts"
"Maximum generated code length is 255. Please correct your settings.","Maximum generated code length is 255. Please correct your settings."
"New Account","New Account"
"New Gift Card Account","New Gift Card Account"
"New Pool Size","New Pool Size"
"New code pool was generated.","New code pool was generated."
"No","No"
"No codes left in the pool.","No codes left in the pool."
"Numeric","Numeric"
"Order #%s.","Order #%s."
"Please assign gift card account.","Please assign gift card account."
"Please select gift card account(s)","Please select gift card account(s)"
"Please wait, loading...","Please wait, loading..."
"Recipient Email","Recipient Email"
"Recipient Name","Recipient Name"
"Recipient: %s.","Recipient: %s."
"Recipient: %s. By admin: %s.","Recipient: %s. By admin: %s."
"Redeem Gift Card","Redeem Gift Card"
"Redeemable","Redeemable"
"Redeemed","Redeemed"
"Redemption functionality is disabled.","Redemption functionality is disabled."
"Refund Gift Cards to Store Credit","Refund Gift Cards to Store Credit"
"Refunded to Store Credit","Refunded to Store Credit"
"Remove","Remove"
"Remove gift card account","Remove gift card account"
"Retrieve full gift card account info","Retrieve full gift card account info"
"Retrieve gift card accounts list","Retrieve gift card accounts list"
"Save","Save"
"Save & Send Email","Save & Send Email"
"Send Gift Card","Send Gift Card"
"Sent","Sent"
"Status","Status"
"Store Credit","Store Credit"
"The gift card account has been saved and sent.","The gift card account has been saved and sent."
"The gift card account has been saved, but email was not sent.","The gift card account has been saved, but email was not sent."
