"ASCII","ASCII"
"Action","Action"
"Add Scheduled Export","Add Scheduled Export"
"Add Scheduled Import","Add Scheduled Import"
"Are you sure you want to delete the selected scheduled imports/exports?","Are you sure you want to delete the selected scheduled imports/exports?"
"Are you sure you want to delete this scheduled export?","Are you sure you want to delete this scheduled export?"
"Are you sure you want to delete this scheduled import?","Are you sure you want to delete this scheduled import?"
"Binary","Binary"
"Can not change status for all items","Can not change status for all items"
"Can not delete all items","Can not delete all items"
"Change status","Change status"
"Clean Now","Clean Now"
"Connecting to server","Connecting to server"
"Continue Processing","Continue Processing"
"Daily","Daily"
"Delete","Delete"
"Description","Description"
"Directory ""%s"" is not writable.","Directory ""%s"" is not writable."
"Disabled","Disabled"
"Edit","Edit"
"Edit Scheduled Export","Edit Scheduled Export"
"Edit Scheduled Import","Edit Scheduled Import"
"Enable Scheduled File History Cleaning","Enable Scheduled File History Cleaning"
"Enabled","Enabled"
"Entity Attributes","Entity Attributes"
"Entity Type","Entity Type"
"Entity type","Entity type"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"Export","Export"
"Export Failed","Export Failed"
"Export Failed Emails","Export Failed Emails"
"Export File Information","Export File Information"
"Export Settings","Export Settings"
"FTP Host[:Port]","FTP Host[:Port]"
"Failed","Failed"
"Failed Email Receiver","Failed Email Receiver"
"Failed Email Sender","Failed Email Sender"
"Failed Email Template","Failed Email Template"
"File Directory","File Directory"
"File Format","File Format"
"File History Clean Failed","File History Clean Failed"
"File Mode","File Mode"
"File Name","File Name"
"File has been not created","File has been not created"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir"
"Frequency","Frequency"
"History files have been deleted","History files have been deleted"
"Import","Import"
"Import Behavior","Import Behavior"
"Import Failed","Import Failed"
"Import Failed Emails","Import Failed Emails"
"Import File Information","Import File Information"
"Import Settings","Import Settings"
"Invalid cron job task","Invalid cron job task"
"Invalid scheduled operation","Invalid scheduled operation"
"Invalid scheduled operation type","Invalid scheduled operation type"
"Invalid server comunication class ""%s""","Invalid server comunication class ""%s"""
"Invalid server type","Invalid server type"
"Last Outcome","Last Outcome"
"Last Run Date","Last Run Date"
"Local Server","Local Server"
"Monthly","Monthly"
"Name","Name"
"New Scheduled Export","New Scheduled Export"
"New Scheduled Import","New Scheduled Import"
"No valid data sent","No valid data sent"
"On Error","On Error"
"Operation","Operation"
"Operation finished with fail status","Operation finished with fail status"
"Operation has been successfully run","Operation has been successfully run"
"Passive Mode","Passive Mode"
"Password","Password"
"Pending","Pending"
"Reading import file","Reading import file"
"Remote FTP","Remote FTP"
"Run","Run"
"Save Files, Days","Save Files, Days"
"Save file content","Save file content"
"Save history file content ""%s""","Save history file content ""%s"""
"Scheduled Import/Export","Scheduled Import/Export"
"Scheduled Import/Export File History Cleaning","Scheduled Import/Export File History Cleaning"
"Scheduled Imports/Exports","Scheduled Imports/Exports"
"Send Failed Email Copy Method","Send Failed Email Copy Method"
"Send Failed Email Copy To","Send Failed Email Copy To"
"Server Type","Server Type"
"Start Time","Start Time"
"Status","Status"
"Stop Import","Stop Import"
"Successful","Successful"
"The scheduled export has been deleted.","The scheduled export has been deleted."
"The scheduled export has been saved.","The scheduled export has been saved."
"The scheduled import has been deleted.","The scheduled import has been deleted."
"The scheduled import has been saved.","The scheduled import has been saved."
"Total of %s record(s) have been deleted","Total of %s record(s) have been deleted"
"Total of %s record(s) have been updated","Total of %s record(s) have been updated"
"Total size of the file must not exceed %s","Total size of the file must not exceed %s"
"Unable to create directory ""%s"".","Unable to create directory ""%s""."
"Unable to delete ""%s"". Directory is not writable.","Unable to delete ""%s"". Directory is not writable."
"Unable to delete history files","Unable to delete history files"
"Unable to delete scheduled operation","Unable to delete scheduled operation"
"Unable to read file source. File name is empty","Unable to read file source. File name is empty"
"Unable to read import file","Unable to read import file"
"Unable to run operation","Unable to run operation"
"Unable to save file history file","Unable to save file history file"
"Unable to save scheduled operation","Unable to save scheduled operation"
"Unable to write file ""%s"" to ""%s"" with ""%s"" driver","Unable to write file ""%s"" to ""%s"" with ""%s"" driver"
"Unknown file format","Unknown file format"
"User Name","User Name"
"Weekly","Weekly"
