"Action","Action"
"Change Index Mode","Change Index Mode"
"Description","Description"
"Enable Scheduled Cleanup","Enable Scheduled Cleanup"
"Frequency","Frequency"
"Index","Index"
"Index Clean Schedule","Index Clean Schedule"
"Index Management","Index Management"
"Index Options","Index Options"
"Index mode","Index mode"
"Mode","Mode"
"Never","Never"
"Processing","Processing"
"Ready","Ready"
"Reindex Data","Reindex Data"
"Reindex Required","Reindex Required"
"Scheduled","Scheduled"
"Start Time","Start Time"
"Status","Status"
"Unable to save the cron expression.","Unable to save the cron expression."
"Update Required","Update Required"
"Update on Save","Update on Save"
"Update when scheduled","Update when scheduled"
"Updated At","Updated At"
