"""Order"" authorizations are not implemented. Please use ""simple"" authorization.","""Order"" authorizations are not implemented. Please use ""simple"" authorization."
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Check will be unavailable if CIM enabled.","3D Secure Check will be unavailable if CIM enabled."
"Accepted Currency","Accepted Currency"
"Authorization","Authorization"
"Authorization transaction is required to void.","Authorization transaction is required to void."
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Braintree","Braintree"
"Credit Cards","Credit Cards"
"Cybersource (SOAP Toolkit)","Cybersource (SOAP Toolkit)"
"DIBS Payment Services","DIBS Payment Services"
"Data Transfer Key","Data Transfer Key"
"Debug","Debug"
"Direct Sale","Direct Sale"
"Empty response received from Payment Bridge.","Empty response received from Payment Bridge."
"Enable CIM","Enable CIM"
"Enable Vault","Enable Vault"
"Enabled","Enabled"
"First Data Global Gateway Web Service API","First Data Global Gateway Web Service API"
"Gateway Basic URL","Gateway Basic URL"
"Gives effect only when payment bridge is active.","Gives effect only when payment bridge is active."
"IPN postback HTTP error: %s","IPN postback HTTP error: %s"
"IPN postback Validation error: %s","IPN postback Validation error: %s"
"Impossible to issue a refund transaction, because capture transaction does not exist.","Impossible to issue a refund transaction, because capture transaction does not exist."
"Magento Unique Identifier","Magento Unique Identifier"
"Maximum data transfer key length is 32. Please correct your settings.","Maximum data transfer key length is 32. Please correct your settings."
"Merchant Code","Merchant Code"
"Merchant Key","Merchant Key"
"Merchant review is required for further processing.","Merchant review is required for further processing."
"My Credit Card profiles","My Credit Card profiles"
"My Credit Cards","My Credit Cards"
"Ogone Direct Link","Ogone Direct Link"
"Optional. Used in case of multiple Magento instances use the same Payment Bridge merchant account (Merchant Code).","Optional. Used in case of multiple Magento instances use the same Payment Bridge merchant account (Merchant Code)."
"Original gateway transaction id: #%s.","Original gateway transaction id: #%s."
"PSi Gate","PSi Gate"
"Pay Now","Pay Now"
"Paybox Direct","Paybox Direct"
"Payflow PNREF: #%s.","Payflow PNREF: #%s."
"Payment Action","Payment Action"
"Payment Bridge","Payment Bridge"
"Payment Bridge Selected","Payment Bridge Selected"
"Payment Bridge authentication data is not present","Payment Bridge authentication data is not present"
"Payment Method Code is not passed.","Payment Method Code is not passed."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment gateway internal error.","Payment gateway internal error."
"Payone.de","Payone.de"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Please do not refresh the page until you complete payment.","Please do not refresh the page until you complete payment."
"Sage Pay Direct","Sage Pay Direct"
"Sale","Sale"
"Sort Order","Sort Order"
"Test Mode","Test Mode"
"This payment method will work only if the Payment Bridge is enabled and configured correctly.","This payment method will work only if the Payment Bridge is enabled and configured correctly."
"Title","Title"
"Unable to communicate with Payment Bridge service.","Unable to communicate with Payment Bridge service."
"Use via Payment Bridge","Use via Payment Bridge"
"Worldpay","Worldpay"
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">here</a> .","Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">here</a> ."
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> .","Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> ."
"eWAY Direct","eWAY Direct"
