"Admin Accounts Locks","Admin Accounts Locks"
"Auto-generate a Key","Auto-generate a Key"
"Change Encryption Key","Change Encryption Key"
"Encryption Key Change","Encryption Key Change"
"Encryption key format is invalid.","Encryption key format is invalid."
"Encryption key has been changed.","Encryption key has been changed."
"Failures","Failures"
"File %s is not writeable.","File %s is not writeable."
"Forced","Forced"
"ID","ID"
"If empty, this feature will be disabled.","If empty, this feature will be disabled."
"Last login","Last login"
"Locked Admins","Locked Admins"
"Locked Users","Locked Users"
"Locked administrators","Locked administrators"
"Locked until","Locked until"
"Lockout Time (minutes)","Lockout Time (minutes)"
"Manage Encription Key","Manage Encription Key"
"Manage Encryption Key","Manage Encryption Key"
"Maximum Login Failures to Lockout Account","Maximum Login Failures to Lockout Account"
"New Encryption Key","New Encryption Key"
"New Key","New Key"
"Password Change","Password Change"
"Password Lifetime (days)","Password Lifetime (days)"
"Permissions","Permissions"
"Please enter an encryption key.","Please enter an encryption key."
"Recommended","Recommended"
"System","System"
"The encryption key is used to encrypt passwords and other sensitive data.","The encryption key is used to encrypt passwords and other sensitive data."
"The generated key will be displayed after changing.","The generated key will be displayed after changing."
"This account is locked.","This account is locked."
"This password was used earlier, try another one.","This password was used earlier, try another one."
"To make key change possible, make sure the following file is writeable: %s","To make key change possible, make sure the following file is writeable: %s"
"Unlock","Unlock"
"Unlocked %d user(s).","Unlocked %d user(s)."
"Username","Username"
"Your new encryption key: <span style=""font-family:monospace;"">%s</span>. Please make a note of it and make sure you keep it in a safe place.","Your new encryption key: <span style=""font-family:monospace;"">%s</span>. Please make a note of it and make sure you keep it in a safe place."
"Your password has expired, please <a href=""%s"">change it</a>.","Your password has expired, please <a href=""%s"">change it</a>."
"Your password has expired, please contact administrator.","Your password has expired, please contact administrator."
"Your password has expired, you must change it now.","Your password has expired, you must change it now."
