"An error occurred while mass deleting tasks. Please review log and try again.","An error occurred while mass deleting tasks. Please review log and try again."
"Are you sure you want to delete these tasks?","Are you sure you want to delete these tasks?"
"Completed","Completed"
"Delete","Delete"
"ID","ID"
"In Progress","In Progress"
"Manage Queue","Manage Queue"
"Pending","Pending"
"Please select task(s).","Please select task(s)."
"Queue","Queue"
"Queue Tasks","Queue Tasks"
"Skipped","Skipped"
"Task Created At","Task Created At"
"Task Data","Task Data"
"Task Handle","Task Handle"
"Task Queue","Task Queue"
"Task Status","Task Status"
"Task(s) has been successfully deleted.","Task(s) has been successfully deleted."
"Tasks","Tasks"
