"Action","Action"
"Add New Search Term","Add New Search Term"
"Display in Suggested Terms","Display in Suggested Terms"
"Edit","Edit"
"Enable Search Recommendations","Enable Search Recommendations"
"Enable Search Suggestions","Enable Search Suggestions"
"Enable Solr Engine for Catalog Navigation","Enable Solr Engine for Catalog Navigation"
"Engine autocommit","Engine autocommit"
"Final commit","Final commit"
"ID","ID"
"Indexation Mode","Indexation Mode"
"MySql Fulltext","MySql Fulltext"
"No","No"
"Note: Enabling this option affects the performance.","Note: Enabling this option affects the performance."
"Note: Partial commit mode affects time of indexation, but allows indexed products to be visible on the frontend before indexation is completed.","Note: Partial commit mode affects time of indexation, but allows indexed products to be visible on the frontend before indexation is completed."
"Number of Uses","Number of Uses"
"Partial commit","Partial commit"
"Redirect","Redirect"
"Related Search Terms","Related Search Terms"
"Results","Results"
"Search Engine","Search Engine"
"Search Query","Search Query"
"Search Recommendations Count","Search Recommendations Count"
"Search Suggestions Count","Search Suggestions Count"
"Show Results Count for Each Recommendation","Show Results Count for Each Recommendation"
"Show Results Count for Each Suggestion","Show Results Count for Each Suggestion"
"Solr","Solr"
"Solr Server Hostname","Solr Server Hostname"
"Solr Server Password","Solr Server Password"
"Solr Server Path","Solr Server Path"
"Solr Server Port","Solr Server Port"
"Solr Server Timeout","Solr Server Timeout"
"Solr Server Username","Solr Server Username"
"Store","Store"
"Synonym For","Synonym For"
"Test Connection","Test Connection"
"Unable to perform search because of search engine missed configuration.","Unable to perform search because of search engine missed configuration."
"Without starting and trailing slashes.","Without starting and trailing slashes."
"Yes","Yes"
