"""%s"" cannot be moved.","""%s"" cannot be moved."
"""%s"" is already present in %s.","""%s"" is already present in %s."
"""%s"" was successfully copied to %s.","""%s"" was successfully copied to %s."
"""%s"" was successfully moved to %s.","""%s"" was successfully moved to %s."
"%d items","%d items"
"%d items are already present in %s: %s.","%d items are already present in %s: %s."
"%d items cannot be moved: %s.","%d items cannot be moved: %s."
"%d items could not be copied.","%d items could not be copied."
"%d items could not be moved.","%d items could not be moved."
"%d items were copied to %s: %s.","%d items were copied to %s: %s."
"%d items were not found.","%d items were not found."
"%d items were successfully moved to %s: %s.","%d items were successfully moved to %s: %s."
"%s for ""%s"".","%s for ""%s""."
"%s\'s Wishlist","%s\'s Wishlist"
"%s\'s Wishlist (%s)","%s\'s Wishlist (%s)"
"* Required Fields","* Required Fields"
"1 item","1 item"
"Actions","Actions"
"Add to Cart","Add to Cart"
"Add to Wishlist","Add to Wishlist"
"Add to:","Add to:"
"Added at","Added at"
"All Forms","All Forms"
"All Wishlists","All Wishlists"
"An error occurred during wishlist deletion.","An error occurred during wishlist deletion."
"Back","Back"
"Cancel","Cancel"
"Change","Change"
"Comment","Comment"
"Copy To Wishlist","Copy To Wishlist"
"Copy To:","Copy To:"
"Copy to Wishlist","Copy to Wishlist"
"Copy to:","Copy to:"
"Could not add item to shopping cart.","Could not add item to shopping cart."
"Could not copy ""%s"".","Could not copy ""%s""."
"Could not copy wishlist item.","Could not copy wishlist item."
"Could not move wishlist item.","Could not move wishlist item."
"Could not perform search","Could not perform search"
"Create New Wishlist","Create New Wishlist"
"Customer Name","Customer Name"
"Customer's Wishlist Report","Customer's Wishlist Report"
"Customer's Wishlists","Customer's Wishlists"
"Customer's wishlists","Customer's wishlists"
"Customers","Customers"
"Default wishlist cannot be deleted","Default wishlist cannot be deleted"
"Delete Wishlist","Delete Wishlist"
"Difference between qtys","Difference between qtys"
"Display Wishlists Summary","Display Wishlists Summary"
"Edit","Edit"
"Edit Wishlist","Edit Wishlist"
"Enable Multiple Wishlists","Enable Multiple Wishlists"
"Enter at least two letters","Enter at least two letters"
"Error happened during wishlist creation","Error happened during wishlist creation"
"Error happened during wishlist creation. Try again later","Error happened during wishlist creation. Try again later"
"First Name","First Name"
"Go","Go"
"Item was not found.","Item was not found."
"Item with specified ID doesn't exist.","Item with specified ID doesn't exist."
"Last Name","Last Name"
"Log in to edit wishlists.","Log in to edit wishlists."
"Make This Wishlist Public","Make This Wishlist Public"
"Move To Wishlist","Move To Wishlist"
"Move To:","Move To:"
"Move to Wishlist","Move to Wishlist"
"Move to:","Move to:"
"My Wishlists","My Wishlists"
"My Wishlists (%d item)","My Wishlists (%d item)"
"My Wishlists (%d items)","My Wishlists (%d items)"
"My Wishlists <small>(%d)</small>","My Wishlists <small>(%d)</small>"
"My Wishlists Link","My Wishlists Link"
"Name","Name"
"Note: The number of multiple wishlists should be equal or more than 2.","Note: The number of multiple wishlists should be equal or more than 2."
"Number of Multiple Wishlists","Number of Multiple Wishlists"
"Only %d wishlists can be created.","Only %d wishlists can be created."
"Owner","Owner"
"Owner Email","Owner Email"
"Please enter at least 2 letters of the first name.","Please enter at least 2 letters of the first name."
"Please enter at least 2 letters of the last name.","Please enter at least 2 letters of the last name."
"Please enter at least 2 letters.","Please enter at least 2 letters."
"Please input a valid email address.","Please input a valid email address."
"Please specify correct search options.","Please specify correct search options."
"Price","Price"
"Private","Private"
"Product Info","Product Info"
"Product Name","Product Name"
"Product SKU","Product SKU"
"Provide wishlist name","Provide wishlist name"
"Public","Public"
"Qty","Qty"
"Qty available in store","Qty available in store"
"Qty in wishlist","Qty in wishlist"
"Quick Search Form Types","Quick Search Form Types"
"RSS Feed","RSS Feed"
"Reports","Reports"
"Save","Save"
"Search","Search"
"Search By","Search By"
"Search Options","Search Options"
"Search Results","Search Results"
"Select Search Type","Select Search Type"
"Select items to copy","Select items to copy"
"Select items to move","Select items to move"
"Template","Template"
"The wishlist is not assigned to your account and cannot be edited ","The wishlist is not assigned to your account and cannot be edited "
"This wishlist is private. Only you can view this wishlist.","This wishlist is private. Only you can view this wishlist."
"This wishlist is publicly visible.","This wishlist is publicly visible."
"Unit Price","Unit Price"
"Updated at","Updated at"
"View","View"
"Wanted Qty","Wanted Qty"
"Wishlist ""%s"" has been deleted.","Wishlist ""%s"" has been deleted."
"Wishlist ""%s"" was successfully saved","Wishlist ""%s"" was successfully saved"
"Wishlist Info","Wishlist Info"
"Wishlist Items","Wishlist Items"
"Wishlist Name","Wishlist Name"
"Wishlist Owner Email Search","Wishlist Owner Email Search"
"Wishlist Owner Name Search","Wishlist Owner Name Search"
"Wishlist Search","Wishlist Search"
"Wishlist Search Description","Wishlist Search Description"
"Wishlist Search Template","Wishlist Search Template"
"Wishlist Status","Wishlist Status"
"Wishlist name","Wishlist name"
"Wishlist:","Wishlist:"
"You are about to delete your wish list.\nThis action cannot be undone.\nDo you want to proceed?","You are about to delete your wish list.\nThis action cannot be undone.\nDo you want to proceed?"
"You must select items to add to cart","You must select items to add to cart"
"Your search returned no results.","Your search returned no results."
